393.0,12,0,0,2482
1233.0,32,8,1,3541
7.0,2,14,1,81
340.0,12,15,0,1540
114.0,2,17,1,309
900.0,2,18,1,2341
22.0,8,58,0,125
5.0,8,61,0,101
36.0,12,61,0,221
6.0,2,61,1,128
5.0,2,61,0,161
296.0,8,61,0,1401
1025.0,12,97,0,3800
1223.0,32,97,1,3630
536.0,8,97,0,2702
321.0,12,98,0,2580
111.0,2,102,1,394
6.0,8,108,0,148
5.0,2,110,1,177
7.0,8,112,0,152
113.0,2,112,1,404
669.0,8,114,0,2719
25.0,8,115,0,182
32.0,8,115,0,182
25.0,12,115,0,275
1302.0,32,115,1,3648
341.0,12,115,0,1640
353.0,12,165,0,2647
1355.0,32,166,1,3699
7.0,2,169,0,269
30.0,8,169,0,343
6.0,8,173,0,213
6.0,8,174,0,214
326.0,8,176,0,1516
347.0,12,176,0,1701
18.0,4,176,0,245
8.0,2,176,0,276
21.0,4,180,0,249
33.0,8,238,0,412
6.0,2,242,1,309
715.0,8,242,0,2847
16.0,8,244,0,311
1196.0,12,245,0,3948
8.0,8,245,0,285
307.0,12,251,0,2733
1094.0,12,251,0,3954
41.0,12,251,0,411
897.0,2,251,1,2574
