354.0,12,0,0,2482
5.0,8,3,0,43
384.0,12,3,0,2485
10.0,24,4,0,70
44.0,8,9,0,183
721.0,8,11,0,2616
44.0,8,13,0,187
32.0,8,36,0,103
415.0,8,36,0,1376
10.0,8,36,0,76
41.0,8,36,0,210
42.0,12,36,0,196
344.0,12,36,0,1561
395.0,24,48,0,1004
901.0,2,48,1,2371
7.0,2,49,1,116
364.0,12,50,0,2532
23.0,4,55,0,124
30.0,8,58,0,232
23.0,8,87,0,154
6.0,2,87,1,154
12.0,24,121,0,187
900.0,2,126,1,2449
6.0,24,127,0,193
253.0,24,130,0,1086
7.0,2,131,1,198
435.0,12,133,0,2615
415.0,12,158,0,2640
1179.0,12,159,0,3862
15.0,4,179,0,248
15.0,4,183,0,252
7.0,8,184,0,224
6.0,2,184,0,284
900.0,2,195,1,2518
284.0,12,266,0,2748
6.0,8,267,0,307
383.0,8,267,0,1607
111.0,2,269,1,561
15.0,8,272,0,339
318.0,12,283,0,1808
18.0,8,307,0,374
6.0,2,308,1,375
20.0,8,313,0,380
1395.0,12,313,0,4016
1504.0,12,313,0,4016
26.0,12,313,0,473
110.0,2,321,1,613
318.0,12,322,0,2804
